Name,Surname,Application type,Task,Status,Assignee,Due date,Priority,Completed,Description,Attach file,Updated at,Effort level
Michael,van Tonder, Section 13 ,Application Received,Done,L. Potgieter,03/06/2026,High,Yes,Application recieved from Tally,,03/06/2026,
,,,Payment Confirmed,Done,Yoco,04/06/2026,High,Yes,Payment confirmed via Yoco/EFT,,03/06/2026,High
,,,Preparing Documents,Done ,MP Vorster,07/06/2026,High,No,Preparing all documents as requested,,07/06/2026,Medium
,,,Quality Assurance Review,Done,Johan De Beer,07/06/2026,High,No,Quality check on all documents,,08/06/2026,High
,,,Documents Ready,Done ,MP Vorster,08/06/2026,High,No,Documents finalized and approved,,08/06/2026,

,,,Documents sent,In progress,L. Potgieter,08/06/2026,High,No,Documents sent to client,,08/06/2026,























